regime,seed,round,stage_index,stage,status,candidate_clients,accepted_clients,detail_json
Edge-IIoTset-calibrated,11,4,3,TrustFilter,ok,19,17,"{""accepted_client_ids"":[0,1,2,3,4,6,7,8,9,11,12,13,15,16,17,18,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,4,4,Fuse,ok,19,17,"{""fused_sha256"":""398530519c46ed75a0dce5914ea7e80301a10d0455c91498032e5a057eff90c8""}"
Edge-IIoTset-calibrated,11,4,5,Policy,ok,19,17,"{""decision"":""review"",""incident_risk"":0.9771765974216591,""reason"":""human_review_required"",""true_class"":3}"
Edge-IIoTset-calibrated,11,4,6,Commit,ok,19,17,"{""commit_latency_ms"":375.0,""commit_status"":""committed"",""receipt_sha256"":""14964a122f44c7a3337523a8c5e7d086d0d0d3d1062c085a3cbfd0fb74d85451""}"
Edge-IIoTset-calibrated,11,5,1,Schedule,ok,19,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19]}"
Edge-IIoTset-calibrated,11,5,2,ProvisionalReference,ok,19,0,"{""reference_sha256"":""68384348a1f0bc7285e6d0bc00bd4ff2879ae8149e32cde0f798e5d67f887121""}"
Edge-IIoTset-calibrated,11,5,3,TrustFilter,ok,19,17,"{""accepted_client_ids"":[0,1,2,3,4,6,7,8,9,10,11,12,13,15,16,18,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,5,4,Fuse,ok,19,17,"{""fused_sha256"":""ad99a6fd61a8a017322cdf7ca7860d6ad035fa01dfb61806219911a58836e778""}"
Edge-IIoTset-calibrated,11,5,5,Policy,ok,19,17,"{""decision"":""review"",""incident_risk"":0.9838524228369291,""reason"":""human_review_required"",""true_class"":2}"
Edge-IIoTset-calibrated,11,5,6,Commit,ok,19,17,"{""commit_latency_ms"":375.0,""commit_status"":""committed"",""receipt_sha256"":""9cdb0c8edce1d6aabde3fbd7c8ee4a78828290580d85bd7da68ab174797ffb9a""}"
Edge-IIoTset-calibrated,11,6,1,Schedule,ok,19,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,6,2,ProvisionalReference,ok,19,0,"{""reference_sha256"":""055554c52b62048fba0556c9e7f45a76dc728b986e4b9024ba5cea356d31a8f4""}"
Edge-IIoTset-calibrated,11,6,3,TrustFilter,ok,19,17,"{""accepted_client_ids"":[0,1,2,3,4,6,7,8,10,11,12,13,15,16,17,18,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,6,4,Fuse,ok,19,17,"{""fused_sha256"":""24df9aa0d4d49e34ec4230abdb499170ca032cc83ba0799839b4e511944d0c33""}"
Edge-IIoTset-calibrated,11,6,5,Policy,ok,19,17,"{""decision"":""review"",""incident_risk"":0.9810405602364599,""reason"":""human_review_required"",""true_class"":3}"
Edge-IIoTset-calibrated,11,6,6,Commit,ok,19,17,"{""commit_latency_ms"":375.0,""commit_status"":""committed"",""receipt_sha256"":""f6b724ef2c71a8283ad95b8b1701a79d1bf4d24b33a815a6954af9dd1371c826""}"
Edge-IIoTset-calibrated,11,7,1,Schedule,ok,20,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,7,2,ProvisionalReference,ok,20,0,"{""reference_sha256"":""aa023caae424c8b7b79f10a1ceaa43a19b5fa34be1c1de1159245dc321cc4c28""}"
Edge-IIoTset-calibrated,11,7,3,TrustFilter,ok,20,18,"{""accepted_client_ids"":[0,1,2,3,4,6,7,8,9,10,11,12,13,15,16,17,18,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,7,4,Fuse,ok,20,18,"{""fused_sha256"":""bbc86bc934efe0112f1f744055156084e37429cf33e062ef514b55dd94c369be""}"
Edge-IIoTset-calibrated,11,7,5,Policy,ok,20,18,"{""decision"":""review"",""incident_risk"":0.9917766105813045,""reason"":""human_review_required"",""true_class"":2}"
Edge-IIoTset-calibrated,11,7,6,Commit,ok,20,18,"{""commit_latency_ms"":385.0,""commit_status"":""committed"",""receipt_sha256"":""e4d3ad85f5a1443a6901b6bb544d35e3ad875fd64e374bd8e5440fc835b82980""}"
Edge-IIoTset-calibrated,11,8,1,Schedule,ok,17,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,2,3,4,6,7,8,9,10,11,12,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,8,2,ProvisionalReference,ok,17,0,"{""reference_sha256"":""fa18c2a2f237d7d22d6aa98808fa083ac1e6b72b92887e5dfd91ac221eb574d6""}"
Edge-IIoTset-calibrated,11,8,3,TrustFilter,ok,17,16,"{""accepted_client_ids"":[0,2,3,4,6,7,8,9,10,11,12,15,16,17,18,19],""quorum"":6,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,8,4,Fuse,ok,17,16,"{""fused_sha256"":""51165fa7edfcdf54bc0b42983900e0f6d00f7c5a85f45227cda217468126efc4""}"
Edge-IIoTset-calibrated,11,8,5,Policy,ok,17,16,"{""decision"":""review"",""incident_risk"":0.9806687994080173,""reason"":""human_review_required"",""true_class"":2}"
Edge-IIoTset-calibrated,11,8,6,Commit,ok,17,16,"{""commit_latency_ms"":365.0,""commit_status"":""committed"",""receipt_sha256"":""1506daab150f50ba0f1301e34b6fe38a4b8243368404e2f49d4afba8321d4f3b""}"
Edge-IIoTset-calibrated,11,9,1,Schedule,ok,16,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,3,5,6,7,8,9,10,11,12,13,15,17,18,19]}"
Edge-IIoTset-calibrated,11,9,2,ProvisionalReference,ok,16,0,"{""reference_sha256"":""ad77271e7c13f1ddd3afaf2997fee399ee0e7f120344de1a2cc3ac3b3db6bf71""}"
Edge-IIoTset-calibrated,11,9,3,TrustFilter,ok,16,14,"{""accepted_client_ids"":[0,1,3,6,7,8,9,10,11,12,13,15,18,19],""quorum"":6,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,9,4,Fuse,ok,16,14,"{""fused_sha256"":""74f709e05ca74ff724801b770f69cba8f9f0b26f837aaa9f7799c427d334acb9""}"
Edge-IIoTset-calibrated,11,9,5,Policy,ok,16,14,"{""decision"":""deny"",""incident_risk"":0.9873297442881802,""reason"":""risk_exceeds_role_clearance"",""true_class"":4}"
Edge-IIoTset-calibrated,11,9,6,Commit,ok,16,14,"{""commit_latency_ms"":345.0,""commit_status"":""committed"",""receipt_sha256"":""86ebf49161ebb42621ad490fb72314f255aec25dd27d390f50515b0c90645b40""}"
Edge-IIoTset-calibrated,11,10,1,Schedule,ok,18,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,10,2,ProvisionalReference,ok,18,0,"{""reference_sha256"":""96ea7ace01a7771cc64800dd728e1075645006c206e9efe06cb98cb20ea056ef""}"
Edge-IIoTset-calibrated,11,10,3,TrustFilter,ok,18,15,"{""accepted_client_ids"":[0,2,3,4,6,7,8,9,10,12,13,15,16,18,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,10,4,Fuse,ok,18,15,"{""fused_sha256"":""5110a3b501043ea17fbf24fc45849f8af551a93fffb08c6371f883021113ed84""}"
Edge-IIoTset-calibrated,11,10,5,Policy,ok,18,15,"{""decision"":""deny"",""incident_risk"":0.9999816687069114,""reason"":""risk_exceeds_role_clearance"",""true_class"":6}"
Edge-IIoTset-calibrated,11,10,6,Commit,ok,18,15,"{""commit_latency_ms"":355.0,""commit_status"":""committed"",""receipt_sha256"":""6da92d921f321032cebccb00815e0b699f226f982a15180e0b9c05431a794914""}"
Edge-IIoTset-calibrated,11,11,1,Schedule,ok,19,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19]}"
Edge-IIoTset-calibrated,11,11,2,ProvisionalReference,ok,19,0,"{""reference_sha256"":""91fe7120f4bde9fb3288cae4b63ae7e79a6ea6582c86f2deb5fa4671f4a66901""}"
Edge-IIoTset-calibrated,11,11,3,TrustFilter,ok,19,17,"{""accepted_client_ids"":[0,1,2,3,4,6,7,8,9,10,11,12,13,15,16,18,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,11,4,Fuse,ok,19,17,"{""fused_sha256"":""207cfec94a484813e942c26ee95d65c74a99cc1aba1804932c56f67be96808ef""}"
Edge-IIoTset-calibrated,11,11,5,Policy,ok,19,17,"{""decision"":""review"",""incident_risk"":0.9981011604953415,""reason"":""human_review_required"",""true_class"":4}"
Edge-IIoTset-calibrated,11,11,6,Commit,ok,19,17,"{""commit_latency_ms"":375.0,""commit_status"":""committed"",""receipt_sha256"":""d947050e1538e09d34633283057d0ec8dbf3790f544fcdc5ea41de60eca7064c""}"
Edge-IIoTset-calibrated,11,12,1,Schedule,ok,20,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,12,2,ProvisionalReference,ok,20,0,"{""reference_sha256"":""0c441fe5f26fda3820d2ebf14b3c53857c6637e1d761484c0b1f63102e46196a""}"
Edge-IIoTset-calibrated,11,12,3,TrustFilter,ok,20,17,"{""accepted_client_ids"":[0,1,2,3,4,6,7,8,9,10,11,12,13,15,16,18,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,12,4,Fuse,ok,20,17,"{""fused_sha256"":""117b92349c09ff26ad88f7030b24da2e2b0dbd7cf6cd8d3a8af111ef6128266c""}"
Edge-IIoTset-calibrated,11,12,5,Policy,ok,20,17,"{""decision"":""allow"",""incident_risk"":0.0060054368350039855,""reason"":""within_policy"",""true_class"":0}"
Edge-IIoTset-calibrated,11,12,6,Commit,ok,20,17,"{""commit_latency_ms"":375.0,""commit_status"":""committed"",""receipt_sha256"":""106484c22f837eca4e4a2ea31cec8dfd85dfa23b72ac62ad707484e2ef0a1856""}"
Edge-IIoTset-calibrated,11,13,1,Schedule,ok,18,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19]}"
Edge-IIoTset-calibrated,11,13,2,ProvisionalReference,ok,18,0,"{""reference_sha256"":""cc97fe135420dca529efff12938bda2839c80f04833171c0420ec285e6616184""}"
Edge-IIoTset-calibrated,11,13,3,TrustFilter,ok,18,15,"{""accepted_client_ids"":[0,1,3,4,6,7,8,9,10,11,12,13,15,16,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,13,4,Fuse,ok,18,15,"{""fused_sha256"":""304974b6e60be2b774bdae7d0cc7c9dea8799f009b44ac7b787fa0080887a361""}"
Edge-IIoTset-calibrated,11,13,5,Policy,ok,18,15,"{""decision"":""review"",""incident_risk"":0.9997467320368928,""reason"":""human_review_required"",""true_class"":1}"
Edge-IIoTset-calibrated,11,13,6,Commit,ok,18,15,"{""commit_latency_ms"":355.0,""commit_status"":""committed"",""receipt_sha256"":""7034fb120f3ac014a35e37c293786f817eb0aa41e41d120125ebeda3cf4e6ae0""}"
Edge-IIoTset-calibrated,11,14,1,Schedule,ok,19,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,14,2,ProvisionalReference,ok,19,0,"{""reference_sha256"":""f662e161a5525d90d9c5228b954d0c0c200802691af9b976f7b8925064201111""}"
Edge-IIoTset-calibrated,11,14,3,TrustFilter,ok,19,16,"{""accepted_client_ids"":[0,2,3,4,6,7,8,9,10,11,12,13,15,16,18,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,14,4,Fuse,ok,19,16,"{""fused_sha256"":""7c1d14e0b65da5a8fe2a79edcf97c297b63f0f327716ae01e4846c1bd60cfbec""}"
Edge-IIoTset-calibrated,11,14,5,Policy,ok,19,16,"{""decision"":""allow"",""incident_risk"":0.027599987723637698,""reason"":""within_policy"",""true_class"":0}"
Edge-IIoTset-calibrated,11,14,6,Commit,ok,19,16,"{""commit_latency_ms"":365.0,""commit_status"":""committed"",""receipt_sha256"":""c90846e03b90572d6581c1131a7436be53a8b17299a1b287b9f2f2e35f65d419""}"
Edge-IIoTset-calibrated,11,15,1,Schedule,ok,18,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,4,5,6,7,8,11,12,13,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,15,2,ProvisionalReference,ok,18,0,"{""reference_sha256"":""f847f653fd9872d31c01741d9bb64da55969efc3296ae340c00e93a4db99b3c8""}"
Edge-IIoTset-calibrated,11,15,3,TrustFilter,ok,18,14,"{""accepted_client_ids"":[0,1,2,4,6,7,8,11,12,13,15,16,18,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,15,4,Fuse,ok,18,14,"{""fused_sha256"":""ea21da4f95556e103fb3c1b283f4710f9b8084f0c1e68ba25b89d8e9bcb670f9""}"
Edge-IIoTset-calibrated,11,15,5,Policy,ok,18,14,"{""decision"":""deny"",""incident_risk"":0.9984941896256746,""reason"":""risk_exceeds_role_clearance"",""true_class"":5}"
Edge-IIoTset-calibrated,11,15,6,Commit,ok,18,14,"{""commit_latency_ms"":345.0,""commit_status"":""committed"",""receipt_sha256"":""923d20148b60dea19e4752b18b4e020c5efc414dd19682d4815fd9bf07466ad5""}"
Edge-IIoTset-calibrated,11,16,1,Schedule,ok,16,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[1,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,16,2,ProvisionalReference,ok,16,0,"{""reference_sha256"":""68a80f5d3bc3c710031ada5bcb8c959b105326da780becc9be407ca58bdbdab7""}"
Edge-IIoTset-calibrated,11,16,3,TrustFilter,ok,16,13,"{""accepted_client_ids"":[1,4,7,8,9,10,11,12,13,15,16,18,19],""quorum"":6,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,16,4,Fuse,ok,16,13,"{""fused_sha256"":""003d4496ffe6d5a33a5d00217cf9de13759af5c186bda33c65c50b8ba9b87242""}"
Edge-IIoTset-calibrated,11,16,5,Policy,ok,16,13,"{""decision"":""allow"",""incident_risk"":0.01204044912894664,""reason"":""within_policy"",""true_class"":0}"
Edge-IIoTset-calibrated,11,16,6,Commit,ok,16,13,"{""commit_latency_ms"":335.0,""commit_status"":""committed"",""receipt_sha256"":""948c1d8d165f487c773e6af110b79ebeee554de4bec5b177d8853f3e3bc3967e""}"
Edge-IIoTset-calibrated,11,17,1,Schedule,ok,18,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,17,2,ProvisionalReference,ok,18,0,"{""reference_sha256"":""a490d3d32d5830f62030fa3d221df6e910ac102f4afd11ecb4bd5a72c4d2c80d""}"
Edge-IIoTset-calibrated,11,17,3,TrustFilter,ok,18,15,"{""accepted_client_ids"":[1,2,4,6,7,8,9,10,11,12,13,15,16,18,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,17,4,Fuse,ok,18,15,"{""fused_sha256"":""92e2cc657f03f1c2857bc23d10a9d19cd9f0d057c524a82679af8a3f9dd588d6""}"
Edge-IIoTset-calibrated,11,17,5,Policy,ok,18,15,"{""decision"":""deny"",""incident_risk"":0.9999607566710402,""reason"":""risk_exceeds_role_clearance"",""true_class"":6}"
Edge-IIoTset-calibrated,11,17,6,Commit,ok,18,15,"{""commit_latency_ms"":355.0,""commit_status"":""committed"",""receipt_sha256"":""448f4a74c5ca4fc106b5663c28a857f462bf451f9fab1c2a2bfcce4fb4c0446e""}"
Edge-IIoTset-calibrated,11,18,1,Schedule,ok,17,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,4,5,8,9,10,11,12,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,18,2,ProvisionalReference,ok,17,0,"{""reference_sha256"":""00102ba44fa654744a926dc72de60f3696c91a36fc0990222614c90a441267e8""}"
Edge-IIoTset-calibrated,11,18,3,TrustFilter,ok,17,13,"{""accepted_client_ids"":[0,1,2,4,8,9,10,11,12,15,16,18,19],""quorum"":6,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,18,4,Fuse,ok,17,13,"{""fused_sha256"":""ae10be9a7e31c6de7e3824a186f8eda4467fd1031c1c09dbbb5a48fd3ea1610f""}"
Edge-IIoTset-calibrated,11,18,5,Policy,ok,17,13,"{""decision"":""deny"",""incident_risk"":0.9947422153988564,""reason"":""risk_exceeds_role_clearance"",""true_class"":4}"
Edge-IIoTset-calibrated,11,18,6,Commit,ok,17,13,"{""commit_latency_ms"":335.0,""commit_status"":""committed"",""receipt_sha256"":""f835bb5dc8662227867d37b47b1a3654984f287f4b0ef70649b4a4986dd5cd72""}"
Edge-IIoTset-calibrated,11,19,1,Schedule,ok,19,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,19,2,ProvisionalReference,ok,19,0,"{""reference_sha256"":""e0d48d4d5b487a784f9324d3d583dc9677d1bef77a6df46fc420f3e8b6f159a1""}"
Edge-IIoTset-calibrated,11,19,3,TrustFilter,ok,19,15,"{""accepted_client_ids"":[0,1,2,4,6,7,9,10,11,12,13,15,16,18,19],""quorum"":7,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,19,4,Fuse,ok,19,15,"{""fused_sha256"":""fa7ef4baa4aff4c47d101572fde3fe106f530b8eeb7f4c913eef65743124d2ec""}"
Edge-IIoTset-calibrated,11,19,5,Policy,ok,19,15,"{""decision"":""allow"",""incident_risk"":0.12169695189052376,""reason"":""within_policy"",""true_class"":0}"
Edge-IIoTset-calibrated,11,19,6,Commit,ok,19,15,"{""commit_latency_ms"":355.0,""commit_status"":""committed"",""receipt_sha256"":""3bae8a6d8ec3c71c7302555374384f7e7c92caf8159e9f41cc824e12813312fe""}"
Edge-IIoTset-calibrated,11,20,1,Schedule,ok,17,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,5,6,8,9,10,11,13,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,20,2,ProvisionalReference,ok,17,0,"{""reference_sha256"":""25997bbbe01b39664df2ab0cc8cd0a7fc8c1f4114008c1ebd70248fa4e2a6192""}"
Edge-IIoTset-calibrated,11,20,3,TrustFilter,ok,17,13,"{""accepted_client_ids"":[0,1,2,6,8,9,10,11,13,15,16,18,19],""quorum"":6,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,20,4,Fuse,ok,17,13,"{""fused_sha256"":""a11c91c1b753e4b039c6cafd9c9ad73a2d415177ded9c21d7c8fc383ca352527""}"
Edge-IIoTset-calibrated,11,20,5,Policy,ok,17,13,"{""decision"":""deny"",""incident_risk"":0.9977201489932357,""reason"":""risk_exceeds_role_clearance"",""true_class"":6}"
Edge-IIoTset-calibrated,11,20,6,Commit,ok,17,13,"{""commit_latency_ms"":335.0,""commit_status"":""committed"",""receipt_sha256"":""b2c67ab73cb63ddcf4269884dc10afb6de3e9e7350d76d6ceeffaf0a7f605e27""}"
Edge-IIoTset-calibrated,11,21,1,Schedule,ok,17,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,4,5,6,7,8,10,12,13,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,21,2,ProvisionalReference,ok,17,0,"{""reference_sha256"":""26a87f3fdc32b1c77a6cc53694f1ce2fd73a420a124ddee105b8fef2dd3ce9dc""}"
Edge-IIoTset-calibrated,11,21,3,TrustFilter,ok,17,14,"{""accepted_client_ids"":[0,1,2,4,6,7,8,10,12,13,15,16,18,19],""quorum"":6,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,21,4,Fuse,ok,17,14,"{""fused_sha256"":""715146d4fe420b992632f9a1f5d7ec02b121b720d9973ac225ceea821f233ebd""}"
Edge-IIoTset-calibrated,11,21,5,Policy,ok,17,14,"{""decision"":""deny"",""incident_risk"":0.9999034354676903,""reason"":""risk_exceeds_role_clearance"",""true_class"":3}"
Edge-IIoTset-calibrated,11,21,6,Commit,ok,17,14,"{""commit_latency_ms"":345.0,""commit_status"":""committed"",""receipt_sha256"":""39c902986e79c4b9110b3bdb502d648f528a864febbe920e1f60473f49d4fef7""}"
Edge-IIoTset-calibrated,11,22,1,Schedule,ok,16,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,4,7,8,9,10,12,13,14,15,16,17,18]}"
Edge-IIoTset-calibrated,11,22,2,ProvisionalReference,ok,16,0,"{""reference_sha256"":""de98af72b3c298b5020b75c226be29ced89aa44258fa5f8b337e1cae1d02f7ae""}"
Edge-IIoTset-calibrated,11,22,3,TrustFilter,ok,16,13,"{""accepted_client_ids"":[0,1,2,4,7,8,9,10,12,13,15,16,18],""quorum"":6,""threshold"":0.43}"
Edge-IIoTset-calibrated,11,22,4,Fuse,ok,16,13,"{""fused_sha256"":""434f2d3173f53edd34875f783d880fd53f6ec03d6a9231648a6d2520dd0cbd9b""}"
Edge-IIoTset-calibrated,11,22,5,Policy,ok,16,13,"{""decision"":""deny"",""incident_risk"":0.9974558887468378,""reason"":""risk_exceeds_role_clearance"",""true_class"":4}"
Edge-IIoTset-calibrated,11,22,6,Commit,ok,16,13,"{""commit_latency_ms"":335.0,""commit_status"":""committed"",""receipt_sha256"":""fd0209c5133e96c91f88281baa41edda4188a80c13d6ef1078c201136eb41d21""}"
Edge-IIoTset-calibrated,11,23,1,Schedule,ok,20,0,"{""resource_rule"":""bandwidth>=180 kbps; energy>=0.24; queue<=6"",""scheduled_client_ids"":[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]}"
Edge-IIoTset-calibrated,11,23,2,ProvisionalReference,ok,20,0,"{""reference_sha256"":""12aa351406bf7cabb93f398ff8e6f3c1ff1d73fd8816140297aaca5d9b0de341""}"
Edge-IIoTset-calibrated,11,23,3,TrustFilter,ok,20,16,"{""accepted_client_ids"":[0,1,2,4,6,7,8,9,10,11,12,13,15,16,18,19],""quorum"":7,""threshold"":0.43}"
